,code,name,times_4,net40,net41
316,000560,昆百大Ａ,2.32,3414.59,7916.58
317,600756,浪潮软件,16.23,711.45,11547.89
318,000055,方大集团,87.39,798.68,69795.64
319,002315,焦点科技,10.23,1085.28,11104.59
320,600689,上海三毛,-0.79,-11694.19,9248.98
321,601788,光大证券,3.82,78783.07,301301.92
322,600415,小商品城,3.5,30322.06,106027.46
323,600200,江苏吴中,4.56,1575.67,7186.75
324,601958,金钼股份,0.02,255082.05,5389.81
325,600133,东湖高新,11.14,1306.78,14562.05
326,000609,绵石投资,4.17,3194.29,13311.34
327,000833,贵糖股份,2.02,1921.56,3873.81
328,600973,宝胜股份,2.55,10429.74,26566.91
329,300498,温氏股份,15.06,78293.77,1178987.93
330,600175,美都能源,8.77,1701.25,14912.9
331,600861,北京城乡,1.58,5618.8,8872.59
332,002048,宁波华翔,7.29,9789.72,71388.56
333,000404,华意压缩,36.0,700.72,25229.08
334,600298,安琪酵母,7.0,7646.39,53509.2
335,600170,上海建工,8.27,25350.03,209550.12
336,600168,武汉控股,5.19,5796.46,30067.65
337,600727,鲁北化工,24.22,124.51,3015.84
338,000717,韶钢松山,0.24,41672.77,10142.73
339,002125,湘潭电化,1.33,1670.53,2224.07
340,600226,升华拜克,3.57,6592.21,23561.06
341,000060,中金岭南,0.28,113458.24,32322.88
342,600269,赣粤高速,1.26,82363.94,103748.4
343,300271,华宇软件,12.57,2161.43,27169.42
344,300019,硅宝科技,6.89,1316.34,9064.42
345,600308,华泰股份,0.46,39878.14,18203.49
346,600595,中孚实业,0.33,17750.41,5799.92
347,600780,通宝能源,0.75,13583.89,10198.49
348,002063,远光软件,3.41,3851.97,13137.43
349,002332,仙琚制药,2.95,4952.97,14618.69
350,000400,许继电气,6.79,12794.47,86892.5
351,000926,福星股份,2.25,25819.27,58105.62
352,600705,中航资本,-1.8,-129228.58,232414.49
353,600614,鹏起科技,9.83,932.99,9169.23
354,000610,西安旅游,1.32,811.57,1071.33
355,600006,东风汽车,0.5,43433.53,21885.45
356,300054,鼎龙股份,41.97,572.13,24010.18
357,600115,东方航空,-1.62,-277997.89,450800.0
358,600713,南京医药,9.7,1858.39,18027.18
359,600819,耀皮玻璃,9.72,2323.44,22577.46
360,000688,建新矿业,-0.44,-53344.82,23432.33
361,600748,上实发展,4.44,13340.01,59186.03
362,600029,南方航空,42.84,11800.0,505500.0
363,600836,界龙实业,-0.83,1319.31,-1098.34
364,600212,江泉实业,-1.21,-3688.67,4455.11
365,600652,游久游戏,9.6,1221.49,11732.0
366,000612,焦作万方,0.36,27572.75,9922.36
367,600650,锦江投资,0.88,26857.88,23700.51
368,000719,大地传媒,-3.08,-21831.32,67307.33
369,600178,东安动力,2.13,3681.25,7854.68
370,600182,S佳通,26.03,580.8,15115.83
371,002198,嘉应制药,2.5,2211.3,5517.2
372,600009,上海机场,1.85,151341.7,280565.07
373,600715,文投控股,24.69,2434.58,60108.64
374,600763,通策医疗,119.42,114.02,13616.47
375,600420,现代制药,9.44,5049.77,47693.37
376,601939,建设银行,5.0,4632200.0,23146000.0
377,601866,中远海发,0.55,66924.75,36859.22
378,601801,皖新传媒,6.77,15642.83,105867.11
379,601727,上海电气,0.99,208713.9,206017.0
380,601106,中国一重,-16.3,35173.95,-573401.85
381,601005,*ST重钢,-14.88,31483.7,-468595.6
382,600986,科达股份,49.29,843.53,41576.12
383,600888,新疆众和,0.52,7622.19,3928.82
384,600859,王府井,2.98,19261.19,57483.4
385,600855,航天长峰,2.63,2196.89,5774.49
386,600834,申通地铁,0.43,12086.81,5194.22
387,600823,世茂股份,17.7,11972.81,211883.28
388,600808,马钢股份,0.54,227658.59,122889.24
389,600794,保税科技,1.66,1485.54,2466.3
390,600773,西藏城投,12.83,572.17,7338.2
391,600770,综艺股份,2.3,2228.9,5123.26
392,600767,运盛医疗,-10.72,530.39,-5688.06
393,600735,新华锦,-1.83,-3049.43,5565.29
394,600733,S*ST前锋,1.63,-2049.47,-3340.21
395,600725,ST云维,24.3,6356.14,154456.34
