,code,name,times_3,times_4,net30,net40,net31,net41
200,000409,山东地矿,-7.04,-70.2,-1383.42,275.73,9736.62,-19355.82
201,000923,河北宣工,0.05,0.45,1310.26,466.64,69.76,209.16
202,002573,清新环境,16.87,9.28,3007.68,8019.65,50731.77,74420.14
203,600150,中国船舶,0.02,-0.63,250060.52,415962.1,6184.95,-260682.0
204,000756,新华制药,0.81,3.6,10224.43,3396.55,8306.23,12227.15
205,002359,齐星铁塔,0.26,-1.42,4359.43,3413.29,1139.83,-4841.51
206,002374,丽鹏股份,4.25,5.98,2855.72,2602.89,12130.47,15559.19
207,000661,长春高新,5.26,24.13,7315.47,2009.49,38447.95,48485.25
208,000711,京蓝科技,47.56,2.24,79.12,535.35,3762.61,1198.89
209,300068,南都电源,1.26,2.83,16079.42,11637.25,20330.29,32934.34
210,000407,胜利股份,0.14,-1.44,20628.32,20371.37,2873.94,-29268.85
211,002671,龙泉股份,0.75,1.48,3406.95,2031.92,2571.57,3002.35
212,002271,东方雨虹,9.97,23.31,7318.56,4412.39,72971.52,102870.97
213,603686,龙马环卫,5.28,9.48,2853.04,2229.4,15077.6,21132.12
214,300015,爱尔眼科,4.63,9.08,9248.94,6136.66,42804.4,55746.72
215,002392,北京利尔,-0.48,2.25,9711.91,6557.87,-4633.78,14750.69
216,002428,云南锗业,0.78,-1.27,7800.67,8141.19,6106.91,-10321.34
217,002529,海源机械,0.05,-0.65,6014.28,5909.12,280.62,-3817.72
218,002411,必康股份,14.12,24.36,4025.69,3914.88,56828.68,95364.45
219,000738,航发控制,1.41,-3.89,13923.06,-5375.07,19624.58,20884.44
220,000576,广东甘化,13.73,-2.12,1291.68,-4820.54,17732.07,10240.62
221,002672,东江环保,3.07,4.66,10831.45,11444.25,33253.4,53381.38
222,002589,瑞康医药,5.27,20.25,4475.73,2917.79,23593.85,59075.89
223,601678,滨化股份,1.62,4.39,26674.72,8173.84,43100.13,35881.31
224,002060,粤 水 电,1.27,1.74,8545.33,7742.15,10842.26,13465.12
225,002404,嘉欣丝绸,0.91,1.79,6418.86,5548.86,5842.05,9957.6
226,002190,成飞集成,2.11,3.34,4178.07,4119.89,8810.98,13771.64
227,002213,特 尔 佳,0.39,0.32,2801.37,2478.93,1092.25,798.28
228,000404,华意压缩,2.5,9.62,8724.38,2623.12,21789.49,25229.08
229,300114,中航电测,2.59,3.58,3874.67,2875.86,10032.31,10303.51
230,600778,友好集团,0.25,-8.34,6043.43,4794.3,1529.83,-39971.89
231,000408,金谷源,0.38,-8.77,-15601.77,-10395.19,-5952.28,91180.98
232,002658,雪迪龙,4.53,4.48,5808.03,4326.98,26292.75,19390.36
233,600217,中再资环,-0.57,-0.45,-30806.16,-33340.0,17514.84,14955.57
234,002056,横店东磁,1.99,2.95,16233.74,14946.49,32317.38,44118.38
235,300316,晶盛机电,1.74,2.55,6023.79,7987.17,10461.49,20374.86
236,600279,重庆港九,2.83,2.74,2748.2,2865.4,7779.8,7846.04
237,600768,宁波富邦,-24.19,-0.31,218.16,-5954.61,-5276.92,1831.38
238,000779,三毛派神,-15.05,0.45,525.21,2929.17,-7906.28,1314.13
239,300237,美晨科技,4.19,19.36,4991.97,2307.18,20911.11,44664.92
240,600665,天地源,1.49,1.81,13895.39,12691.64,20691.82,23032.81
241,600226,瀚叶股份,0.98,1.85,14244.75,12729.62,13988.45,23561.06
242,000416,民生控股,0.33,-1.38,6531.04,-1210.35,2133.71,1664.3
243,300241,瑞丰光电,1.51,2.88,2199.15,1737.98,3319.87,5000.39
244,002383,合众思壮,0.72,1.19,8394.57,8108.37,6057.71,9644.97
245,600156,华升股份,1.68,0.93,556.32,1019.75,936.19,947.95
246,002347,泰尔股份,0.18,0.16,6314.74,6274.52,1160.54,1003.85
247,600038,中直股份,5.43,4.45,8043.43,9858.55,43705.08,43916.15
248,300255,常山药业,4.3,18.9,3636.55,928.33,15629.73,17548.72
249,002247,帝龙文化,2.18,14.98,3938.58,2527.89,8579.85,37868.59
250,002034,美 欣 达,2.0,-0.35,1958.28,-5773.21,3923.55,2019.79
251,300117,嘉寓股份,1.01,1.15,6753.02,6651.26,6788.39,7627.17
252,002229,鸿博股份,0.19,0.31,4833.59,4090.7,917.35,1268.01
253,002245,澳洋顺昌,6.47,9.58,3732.03,2145.54,24143.54,20562.14
254,600893,航发动力,6.67,7.55,15484.0,11795.21,103333.79,89069.55
255,002613,北玻股份,0.35,0.44,6546.33,5513.61,2317.33,2409.89
256,600774,汉商集团,2.29,2.09,444.65,556.73,1018.51,1164.37
257,600337,美克家居,6.65,5.28,4523.63,6263.6,30061.52,33080.05
258,300265,通光线缆,3.81,8.53,2375.5,1472.91,9048.01,12557.14
259,002074,国轩高科,17.28,26.15,3382.51,3942.29,58461.21,103093.97
260,600397,安源煤业,1.31,9.84,2126.73,-20888.13,2786.61,-205618.16
261,600721,百花村,-23.8,20.76,1706.09,670.3,-40598.27,13913.42
262,002332,仙琚制药,1.2,2.25,8884.18,6503.77,10655.1,14618.69
263,000040,东旭蓝天,0.96,-1.53,6435.64,-11462.78,6204.96,17537.95
264,000728,国元证券,2.68,2.7,103720.01,52085.81,278422.91,140540.44
265,600101,明星电力,0.52,0.92,17106.05,9050.93,8908.52,8353.91
266,600780,通宝能源,52.92,7.86,699.01,1297.02,36990.56,10198.49
267,600278,东方创业,1.59,1.75,9263.97,8526.67,14735.22,14886.13
268,002001,新 和 成,0.39,0.87,101833.91,137451.14,40206.78,120263.35
269,601886,江河集团,1.07,1.79,29147.39,19620.18,31252.81,35156.18
270,300188,美亚柏科,4.65,8.85,2865.17,2064.58,13316.5,18262.4
271,002518,科士达,3.8,7.06,6143.94,4191.39,23341.59,29585.85
272,000960,锡业股份,-14.65,5.32,13438.68,2560.66,-196862.73,13611.93
